"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-01-31,61954,"10974","NY","New York","Rockland","Ramapo",13144,312000,0.00128369704749679,0.000962463907603465,0.117878896452884,0.0344458572351203,,"2010-12","2010-Q4",323600,-0.0358467243510507,
2018-01-31,93469,"80547","CO","Fort Collins","Larimer","Fort Collins",13145,480800,0.0054370556252614,0.0210235718836271,0.0413688542343513,0.0586373380085388,,"2018-01","2018-Q1",480800,0,"2018-01"
2018-01-31,80143,"50109","IA","Des Moines","Polk","Granger",13146,266900,0.0156012176560122,0.0487229862475442,0.0775131207105369,0.0707844313813226,0.0304672422395684,"2018-01","2018-Q1",266900,0,"2018-01"
2018-01-31,76714,"43516","OH",,"Henry","Deshler",13147,101800,0.00493583415597236,0.0159680638722555,0.122381477398015,0.0590851628768609,0.019526648071839,"2018-01","2018-Q1",101800,0,"2018-01"
2018-01-31,71844,"32181","FL","Palatka","Putnam","Pomona Park",13148,122500,0.0132340777502068,0.0199833472106578,0.0199833472106578,0.0532727685830905,-0.00312913917976454,"2007-05","2007-Q2",140300,-0.126870990734141,"2006-01"
2018-01-31,79315,"48659","MI",,"Arenac","Sterling",13149,84500,0.014405762304922,0.0279805352798054,0.135752688172043,,,"2018-01","2018-Q1",84500,0,"2018-01"
2018-01-31,70746,"29856","SC","Augusta","Aiken","Windsor",13150,81200,-0.00733496332518337,-0.0502923976608187,0.0855614973262032,0.033397392692365,,"2017-10","2017-Q4",85500,-0.0502923976608187,"2017-05"
2018-01-31,87711,"67663","KS",,"Rooks","Plainville",13151,66600,-0.00149925037481259,-0.0118694362017804,0.0152439024390244,0.0167232406264657,,"2017-09","2017-Q3",67800,-0.0176991150442478,"2017-05"
2018-01-31,98095,"95311","CA",,"Mariposa","Coulterville",13152,222100,-0.00134892086330935,0.0132299270072993,0.146618482188952,0.0703438985363412,,"2017-12","2017-Q4",222400,-0.00134892086330935,"2017-12"
2018-01-31,58263,"01096","MA","Springfield","Hampshire","Williamsburg",13153,242100,0.00165494414563508,0.0129707112970711,0.0142438206954336,0.00520205947474395,0.00479137503398341,"2007-03","2007-Q1",251800,-0.0385226370135028,"2005-05"
